aX,aY,aZ,gX,gY,gZ
-0.037,0.402,-0.458,71.350,25.635,-18.799
-0.038,0.364,-0.435,67.139,24.231,-16.907
-0.054,0.336,-0.380,60.120,20.813,-16.052
-0.069,0.314,-0.328,53.955,17.456,-16.113
-0.078,0.302,-0.305,50.903,15.686,-15.930
-0.088,0.297,-0.299,48.645,13.733,-16.785
-0.086,0.295,-0.301,46.326,11.047,-19.348
-0.084,0.288,-0.299,42.053,7.385,-22.827
-0.082,0.268,-0.280,35.461,3.845,-26.672
-0.081,0.258,-0.256,26.978,1.038,-29.236
-0.098,0.273,-0.225,19.592,-0.916,-27.588
-0.111,0.298,-0.229,15.564,-2.991,-21.851
-0.136,0.332,-0.237,11.292,-3.174,-17.029
-0.154,0.382,-0.243,5.188,-3.235,-13.977
-0.178,0.432,-0.253,0.183,-2.258,-11.230
-0.188,0.478,-0.260,-4.517,-0.854,-9.399
-0.195,0.518,-0.268,-8.179,0.366,-6.958
-0.214,0.576,-0.250,-11.169,0.977,-4.272
-0.219,0.649,-0.254,-11.353,1.770,-2.258
-0.224,0.731,-0.299,-8.301,2.563,-1.160
-0.226,0.789,-0.326,-5.127,2.014,-1.770
-0.234,0.824,-0.331,-4.272,0.244,-4.578
-0.230,0.844,-0.342,-4.639,-1.892,-7.263
-0.240,0.862,-0.341,-7.874,-3.723,-8.850
-0.257,0.893,-0.334,-12.390,-5.371,-8.423
-0.273,0.932,-0.341,-15.747,-5.676,-5.615

-0.426,1.633,-0.721,-10.742,16.785,-52.429
-0.361,1.751,-0.819,-3.174,22.949,-55.542
-0.291,1.855,-0.924,6.958,26.001,-57.678
-0.218,1.938,-1.015,19.165,26.184,-60.608
-0.125,1.996,-1.099,32.715,25.879,-63.416
-0.013,2.018,-1.184,45.898,26.794,-63.477
0.078,2.020,-1.228,54.016,27.710,-57.861
0.155,2.044,-1.227,58.533,27.527,-46.875
0.219,2.070,-1.237,67.078,28.381,-35.095
0.297,2.017,-1.240,79.529,28.870,-28.137
0.387,1.917,-1.193,92.651,26.672,-25.024
0.460,1.756,-1.125,107.422,22.949,-24.597
0.529,1.566,-1.064,120.361,19.104,-25.513
0.577,1.378,-0.972,127.502,13.855,-26.978
0.629,1.176,-0.853,130.737,7.141,-27.100
0.685,0.976,-0.717,130.371,1.648,-25.330
0.733,0.797,-0.569,125.427,-1.343,-21.240
0.787,0.660,-0.439,118.103,-1.953,-13.000
0.870,0.522,-0.326,107.544,-0.610,-4.883
0.955,0.412,-0.235,95.825,2.197,2.319
1.040,0.357,-0.193,90.454,3.418,16.907
1.200,0.293,-0.185,92.407,-1.526,32.898
1.291,0.204,-0.158,97.473,-15.015,45.959
1.306,0.095,-0.068,100.403,-38.574,53.284
1.301,-0.046,0.047,100.952,-63.110,49.011
1.295,-0.252,0.085,103.516,-83.862,38.147
1.258,-0.508,0.076,104.187,-104.797,29.053
1.189,-0.758,0.078,98.938,-125.854,27.832
1.080,-0.989,0.080,87.402,-143.433,33.813
0.927,-1.207,0.083,70.679,-157.043,42.053
0.744,-1.375,0.052,52.185,-165.710,51.880
0.575,-1.460,0.015,34.790,-171.326,61.401
0.404,-1.509,-0.058,22.888,-176.208,65.491
0.204,-1.544,-0.177,18.494,-181.824,63.782
0.009,-1.603,-0.238,15.564,-192.017,56.152
